#	Реестр соответствия: документ пула <-> код репозитория marketplace-api
#	Источник правды. Меняешь код — в том же коммите правишь строку здесь.
#	Колонки разделены табуляцией. Не выравнивать пробелами.
#
#	СВЯЗЬ:
#	  дубль     — логика воспроизведена в документе вручную; расходится молча
#	  контракт  — документ фиксирует интерфейс кода (маршруты, поля, единицы)
#	  описание  — документ объясняет код, но не воспроизводит его
#	  нет       — код без документа в пуле
#
#	СТАТУС:
#	  актуально    — сверено, расхождений нет
#	  расходится   — известное расхождение, см. колонку «замечание»
#	  не сверялось — соответствие никогда не проверялось
#
документ	описывает	код	связь	сверено	статус	замечание
pipeline-model-interactive.html	клиринг, расщепление	api/server.js :: calculateClearing	дубль	—	не сверялось	598 строк скрипта воспроизводят формулу вручную; при изменении формулы демо продолжит считать по старой
auth-seller-integration.html	авторизация продавца (JWT)	api/auth-seller.js	дубль	2026-08-30	расходится	документ описывает только врезку модуля. Не описаны: обязательность JWT_SECRET (сервер не стартует без неё) и то, что регистрация учётки открыта без подтверждения
api-routes-seller.html	контракт маршрутов пути селлера	seller-routes.js	контракт	2026-08-30	расходится	seller-routes.js НЕ подключён и написан под несовместимую схему: 15 из 25 колонок в базе не существуют. Донор для переноса механизмов, не рабочий модуль
test-plan-seller-flow.html	проверки форм и живого API	shop-form.html, sku-crud.html	контракт	2026-08-29	расходится	примеры curl используют price; после миграции 04 поле называется price_kop. Адрес Render захардкожен в примерах
e2e-walkthrough-map.html	сквозной прогон магазин -> сделка	api/server.js	описание	2026-08-21	актуально	
09_clearing_engine_deep.html	движок клиринга	api/server.js :: calculateClearing	описание	—	не сверялось	описывает то же, что дублирует pipeline-model-interactive
11_marketplace_service_deep.html	маршруты каталога, ранжирование	api/server.js	описание	—	не сверялось	формула ранжирования в SQL ORDER BY; поиск через tsvector
03_auth_service-synced.html	сервис авторизации	api/auth-seller.js	описание	—	не сверялось	
05_widget_service_deep-synced.html	виджет-сервис	api/server.js	описание	—	не сверялось	
vitrina-creation-components.html	связи формы -> API -> база -> витрина	api/server.js, shop-form.html, sku-crud.html	описание	—	не сверялось	построен по фактическому контракту server.js
massamadre-settlement-mechanisms.html	механизмы расчёта	api/server.js :: POST /orders	описание	—	не сверялось	
massamadre-catalog-settlement.html	каталог и расчёты пилота	api/server.js	описание	—	не сверялось	
full-cycle-seller-to-buyer.html	карта контура целиком	api/server.js	описание	—	расходится	таблица живых адресов содержит адрес Render и проект Supabase как факт; при переезде правится
full-cycle-seller-to-buyer-red2.html	карта контура, редакция 2	api/server.js	описание	—	не сверялось	
alpha-channels-dashboard.html	каналы продаж	api/channels-api.js	описание	2026-08-30	расходится	модуль врезан и РАБОТАЕТ: PUT конфигуратора проверены вживую 7/7 (401 без токена, 403 на чужой магазин, 200 на свой). Значит visibility_rules, fulfilment_rules, settlement_rules, ratchet_log и функции effective_*, service_level существуют в боевой базе, но отсутствуют в файлах схемы. Отдельно: модуль отказывает на понижение уровня (409), тогда как принятое решение требует свободного понижения в конфигураторе
—	—	api/customers-api.js	нет	2026-08-30	расходится	модуль ВРЕЗАН (лог деплоя: POST /customers, GET /customers/:id), описания в пуле нет ни в одном документе
—	—	schema/01_schema.sql	нет	2026-08-29	актуально	базовая схема, 13 таблиц. Прогнана на PostgreSQL 16 без ошибок. Изменения — только миграциями 03 и 04, сам файл не правится
—	—	seed/02_seed_massamadre.sql	нет	2026-08-29	расходится	экономическая модель устарела: вознаграждение Организатора 0.2%, фонда поддержки сети нет. Зафиксировано совокупное удержание 12.5% = 0.5% + 12.0%
—	—	config/seller.config.example.json	нет	—	не сверялось	заготовка задачи 0.4
—	—	wizard-create-shop.html	нет	—	не сверялось	адрес API захардкожен; config.js не подключён
—	—	join-form.html	нет	—	не сверялось	адрес API захардкожен; config.js не подключён
—	—	seller-cabinet.html	нет	—	не сверялось	данные статические, API не подключён (по 11_marketplace_service_deep)
—	—	cart-checkout.html	нет	—	не сверялось	адрес API захардкожен; config.js не подключён
—	—	agent-buyer-live.html	нет	—	не сверялось	агентный слой деплоится отдельно
—	—	schema/03_integrity.sql	нет	2026-08-29	актуально	шесть ограничений целостности. Идемпотентна, останавливается на грязных данных со списком нарушений
—	—	schema/04_suborders_consents.sql	нет	2026-08-29	актуально	задача 0.1: подзаказы, неизменяемые согласия, копейки, храповик уровня участия. Необратима, откат только из копии
43-personalnye-dannye-statya-i-kontur.html	персональные данные, контур обработки	schema/04_suborders_consents.sql :: consents	описание	—	не сверялось	таблица согласий создана; сверить состав полей с тем, что требует документ
17-split-mode-peretok-doli-synced.html	расщепление доли	api/server.js :: calculateClearing	описание	—	не сверялось	
—	—	api/auth-seller.js :: POST /auth/register	нет	2026-08-30	расходится	РЕГИСТРАЦИЯ УЧЁТКИ ОТКРЫТА: любой, кто знает seller_id, заводит себе вход в чужой кабинет. Идентификатор не секрет — он в сиде и в документах пула. Вход по токену защищён, выдача токена нет. Решение — в спринте 3, вместе с присоединением по оферте
—	—	seller_auth (таблица)	нет	2026-08-30	расходится	создаётся на лету внутри auth-seller.js, в файлах схемы отсутствует. Развернуть контур с нуля из репозитория нельзя: учётные записи возьмутся неоткуда
—	—	api/server.js :: /api/v1/smoke-test	нет	2026-08-30	актуально	проверка clearing_balance обращалась к колонке orders.total, которой в схеме нет — падала с ошибкой и ничего не проверяла. Исправлено на total_amount 30.08; в коммите 3 переписана на подзаказы
—	—	ops/test-auth.sh	нет	2026-08-30	актуально	18 проверок защиты маршрутов продавца против любого контура
—	—	schema/05_idempotency.sql	нет	2026-08-30	актуально	ключ идемпотентности заказа. Без него повторная отправка формы создаёт второй заказ — первый из редких путей проверки 0.8
—	—	sku-crud.html, shop-form.html	нет	2026-08-30	актуально	формы уже слали POST /api/v1/seller/products с Bearer-токеном, а такого маршрута в сервере не было — создание товара возвращало 404. Канонический путь зарегистрирован в коммите 1
—	—	schema/01_schema.sql	нет	2026-08-30	расходится	файлы схемы не описывают боевую базу: отсутствуют seller_auth и объекты конфигуратора каналов (visibility_rules, fulfilment_rules, settlement_rules, ratchet_log, функции effective_*, service_level). Развернуть контур с нуля из репозитория нельзя. Снять определения — ops/check-channels.sql
3-growth-model-v2-regiony-dohody-synced.html	параметры удержания	seed/02_seed_massamadre.sql	контракт	2026-08-30	расходится	ТРИ РАЗНЫХ ЗНАЧЕНИЯ совокупного удержания: набор B из передачи контекста — 14,1%; зафиксированная архитектура — 12,5% (0,5% Организатору + 12,0% в фонд поддержки сети); сид в репозитории — 0,2% Организатору, фонда нет. Клиринг сейчас считает по сиду, то есть по самому старому значению. Требует решения
—	—	минимальный оборот выгодности	нет	2026-08-30	расходится	при наборе B выгодность начинается примерно с 8–10 тыс ₽/мес оборота на продавца. Ограничение найдено при анализе, ни в одном документе пула не зафиксировано
36-seller-onboarding-spec-corrected.html	подключение продавца, 7 шагов	api/channels-api.js :: PUT /visibility, /fulfilment, /settlement	описание	2026-08-30	расходится	в онбординге нет шага настройки схемы под специфику товара. Бэкенд поддерживает scope SHOP|CATEGORY|SKU, шага между импортом товаров и подключением каналов нет. Для пекарни критично: хлеб — скоропорт, кондитерка — длительное хранение, одна схема на всё непригодна
—	—	docs/ (68 документов)	нет	2026-08-30	актуально	залито и проверено по факту 30.08: 18 из 18 ссылок из прототипов ведут в docs/ и разрешаются, битых нет
—	—	33-ui-vitrina-opisanie.html, 34-ui-vitrina-parametry.html	нет	2026-08-30	актуально	документы не существуют, но ссылок на них в прототипах больше нет — вредный футер удалён при сборке комплекта. Расхождение закрыто
—	—	shop-form.html, sku-crud.html	нет	2026-08-30	расходится	config.js подключён и используется, но адрес onrender.com встречается ещё в тексте: shop-form дважды, sku-crud один раз. Вероятно фолбэк или подсказка в интерфейсе. При переезде API проверить
—	—	schema/05_idempotency.sql	нет	2026-08-30	расходится	написана и проверена, в репозиторий не загружена. Нужна вместе с третьим коммитом
seller-login.html	—	seller-login.html	—	2026-08-29	актуально	перенесён из пула; подключён config.js
vitrina-live.html	—	vitrina-live.html	—	2026-08-29	актуально	перенесён из пула; подключён config.js
alpha-dashboard-live.html	—	alpha-dashboard-live.html	—	2026-08-29	актуально	перенесён из пула; подключён config.js
